busco_coleoptera_odb12,Coleoptera_ALG
100357at7041,C1
100520at7041,C1
100529at7041,C1
100706at7041,C1
100767at7041,C1
101330at7041,C1
101895at7041,C1
102082at7041,C1
102356at7041,C1
102506at7041,C1
102687at7041,C1
102805at7041,C1
103130at7041,C1
103383at7041,C1
104594at7041,C1
105294at7041,C1
106196at7041,C1
106208at7041,C1
106529at7041,C1
106822at7041,C1
106867at7041,C1
106918at7041,C1
106951at7041,C1
10698at7041,C1
107185at7041,C1
107365at7041,C1
108321at7041,C1
108413at7041,C1
109191at7041,C1
109325at7041,C1
1095at7041,C1
109661at7041,C1
109713at7041,C1
109763at7041,C1
109855at7041,C1
109939at7041,C1
110007at7041,C1
110093at7041,C1
110181at7041,C1
110257at7041,C1
110291at7041,C1
110323at7041,C1
110778at7041,C1
110at7041,C1
111198at7041,C1
111217at7041,C1
111218at7041,C1
111219at7041,C1
111590at7041,C1
111604at7041,C1
111674at7041,C1
111741at7041,C1
112139at7041,C1
112186at7041,C1
11249at7041,C1
112934at7041,C1
113436at7041,C1
113497at7041,C1
113588at7041,C1
113644at7041,C1
113812at7041,C1
113868at7041,C1
114226at7041,C1
114565at7041,C1
115117at7041,C1
115172at7041,C1
115196at7041,C1
115224at7041,C1
115264at7041,C1
11537at7041,C1
115609at7041,C1
115615at7041,C1
115668at7041,C1
115724at7041,C1
11580at7041,C1
115980at7041,C1
116046at7041,C1
116379at7041,C1
116392at7041,C1
117574at7041,C1
117585at7041,C1
11765at7041,C1
11776at7041,C1
117992at7041,C1
118794at7041,C1
119129at7041,C1
120577at7041,C1
121237at7041,C1
12187at7041,C1
122251at7041,C1
122403at7041,C1
123351at7041,C1
124473at7041,C1
12449at7041,C1
124654at7041,C1
124821at7041,C1
124875at7041,C1
125290at7041,C1
125366at7041,C1
126254at7041,C1
126429at7041,C1
12683at7041,C1
127640at7041,C1
127920at7041,C1
128081at7041,C1
128138at7041,C1
128271at7041,C1
128520at7041,C1
129403at7041,C1
129837at7041,C1
129933at7041,C1
130044at7041,C1
130532at7041,C1
131665at7041,C1
131940at7041,C1
132505at7041,C1
13297at7041,C1
133026at7041,C1
134050at7041,C1
134437at7041,C1
134537at7041,C1
134824at7041,C1
13540at7041,C1
135673at7041,C1
13737at7041,C1
14129at7041,C1
14213at7041,C1
14659at7041,C1
14718at7041,C1
15406at7041,C1
15415at7041,C1
15580at7041,C1
15717at7041,C1
15874at7041,C1
15887at7041,C1
15944at7041,C1
16073at7041,C1
16095at7041,C1
163431at7041,C1
163432at7041,C1
163443at7041,C1
163457at7041,C1
163460at7041,C1
163461at7041,C1
163500at7041,C1
163509at7041,C1
163533at7041,C1
163535at7041,C1
163542at7041,C1
163579at7041,C1
163597at7041,C1
163609at7041,C1
163611at7041,C1
163654at7041,C1
163779at7041,C1
163784at7041,C1
163802at7041,C1
163813at7041,C1
163815at7041,C1
163825at7041,C1
163826at7041,C1
163831at7041,C1
163858at7041,C1
163895at7041,C1
163933at7041,C1
163953at7041,C1
163956at7041,C1
163973at7041,C1
163994at7041,C1
164009at7041,C1
164025at7041,C1
164090at7041,C1
164135at7041,C1
164177at7041,C1
164191at7041,C1
164206at7041,C1
164250at7041,C1
164294at7041,C1
164295at7041,C1
164308at7041,C1
164333at7041,C1
164378at7041,C1
164386at7041,C1
164389at7041,C1
164414at7041,C1
164420at7041,C1
164453at7041,C1
164458at7041,C1
164461at7041,C1
164462at7041,C1
164523at7041,C1
164532at7041,C1
164539at7041,C1
164540at7041,C1
164551at7041,C1
164575at7041,C1
164603at7041,C1
164604at7041,C1
164610at7041,C1
164627at7041,C1
164662at7041,C1
164669at7041,C1
164678at7041,C1
164689at7041,C1
164710at7041,C1
164714at7041,C1
164718at7041,C1
164741at7041,C1
164751at7041,C1
164826at7041,C1
164858at7041,C1
164877at7041,C1
164926at7041,C1
164955at7041,C1
164961at7041,C1
164998at7041,C1
165023at7041,C1
165025at7041,C1
165081at7041,C1
165085at7041,C1
165086at7041,C1
165096at7041,C1
165104at7041,C1
165140at7041,C1
165152at7041,C1
165155at7041,C1
165162at7041,C1
165172at7041,C1
165205at7041,C1
165208at7041,C1
165220at7041,C1
165227at7041,C1
165279at7041,C1
165346at7041,C1
165394at7041,C1
165396at7041,C1
165399at7041,C1
165493at7041,C1
165526at7041,C1
165544at7041,C1
165568at7041,C1
165579at7041,C1
165593at7041,C1
165602at7041,C1
165626at7041,C1
165639at7041,C1
165649at7041,C1
165656at7041,C1
165666at7041,C1
165690at7041,C1
165720at7041,C1
165767at7041,C1
165811at7041,C1
165839at7041,C1
165844at7041,C1
165885at7041,C1
165900at7041,C1
165917at7041,C1
165971at7041,C1
165977at7041,C1
165996at7041,C1
166034at7041,C1
166045at7041,C1
166159at7041,C1
166209at7041,C1
166294at7041,C1
166299at7041,C1
166316at7041,C1
166329at7041,C1
166372at7041,C1
166434at7041,C1
166441at7041,C1
166452at7041,C1
166464at7041,C1
166465at7041,C1
166482at7041,C1
166509at7041,C1
16650at7041,C1
166550at7041,C1
166563at7041,C1
166564at7041,C1
166565at7041,C1
166566at7041,C1
166571at7041,C1
166599at7041,C1
166600at7041,C1
166639at7041,C1
166684at7041,C1
166713at7041,C1
166792at7041,C1
166796at7041,C1
166850at7041,C1
166859at7041,C1
166869at7041,C1
166871at7041,C1
166903at7041,C1
166907at7041,C1
166914at7041,C1
167005at7041,C1
167022at7041,C1
167043at7041,C1
167104at7041,C1
167161at7041,C1
167195at7041,C1
167332at7041,C1
167337at7041,C1
167365at7041,C1
167410at7041,C1
167419at7041,C1
167431at7041,C1
167439at7041,C1
167449at7041,C1
167459at7041,C1
167478at7041,C1
167559at7041,C1
167588at7041,C1
167606at7041,C1
167667at7041,C1
167677at7041,C1
167683at7041,C1
167701at7041,C1
167710at7041,C1
167715at7041,C1
167765at7041,C1
167796at7041,C1
167817at7041,C1
167820at7041,C1
167897at7041,C1
167919at7041,C1
167928at7041,C1
167954at7041,C1
167988at7041,C1
168008at7041,C1
168018at7041,C1
168053at7041,C1
168059at7041,C1
168063at7041,C1
168091at7041,C1
168164at7041,C1
168209at7041,C1
168236at7041,C1
168306at7041,C1
168307at7041,C1
168324at7041,C1
168332at7041,C1
168392at7041,C1
168406at7041,C1
168424at7041,C1
168457at7041,C1
168460at7041,C1
168487at7041,C1
168525at7041,C1
168533at7041,C1
168584at7041,C1
168626at7041,C1
168654at7041,C1
168668at7041,C1
168673at7041,C1
168679at7041,C1
168749at7041,C1
168817at7041,C1
168849at7041,C1
168853at7041,C1
168859at7041,C1
168879at7041,C1
168899at7041,C1
169010at7041,C1
169014at7041,C1
169051at7041,C1
169058at7041,C1
169114at7041,C1
169121at7041,C1
169147at7041,C1
169164at7041,C1
169174at7041,C1
169177at7041,C1
169287at7041,C1
169296at7041,C1
169307at7041,C1
169319at7041,C1
169340at7041,C1
169353at7041,C1
169366at7041,C1
169425at7041,C1
169461at7041,C1
169485at7041,C1
169494at7041,C1
169579at7041,C1
169629at7041,C1
169662at7041,C1
169690at7041,C1
169692at7041,C1
169701at7041,C1
169718at7041,C1
169732at7041,C1
169747at7041,C1
169758at7041,C1
169790at7041,C1
169824at7041,C1
169890at7041,C1
169892at7041,C1
169895at7041,C1
169920at7041,C1
169926at7041,C1
169933at7041,C1
169935at7041,C1
169942at7041,C1
169954at7041,C1
170013at7041,C1
170046at7041,C1
170050at7041,C1
170061at7041,C1
170136at7041,C1
170151at7041,C1
170155at7041,C1
170165at7041,C1
170255at7041,C1
170266at7041,C1
170268at7041,C1
170288at7041,C1
170292at7041,C1
170299at7041,C1
170315at7041,C1
170337at7041,C1
170340at7041,C1
170357at7041,C1
170361at7041,C1
170388at7041,C1
170396at7041,C1
170453at7041,C1
170457at7041,C1
170598at7041,C1
170680at7041,C1
170685at7041,C1
170712at7041,C1
170790at7041,C1
170794at7041,C1
170795at7041,C1
170834at7041,C1
170978at7041,C1
171025at7041,C1
171088at7041,C1
171144at7041,C1
171187at7041,C1
17428at7041,C1
17669at7041,C1
1777at7041,C1
17824at7041,C1
180at7041,C1
18138at7041,C1
18231at7041,C1
18266at7041,C1
1840at7041,C1
18444at7041,C1
18878at7041,C1
19012at7041,C1
19210at7041,C1
19359at7041,C1
1957at7041,C1
19589at7041,C1
19634at7041,C1
1986at7041,C1
19878at7041,C1
20205at7041,C1
20481at7041,C1
20649at7041,C1
20675at7041,C1
20767at7041,C1
21066at7041,C1
21311at7041,C1
21801at7041,C1
2207at7041,C1
22202at7041,C1
22882at7041,C1
23152at7041,C1
23155at7041,C1
23528at7041,C1
23721at7041,C1
23861at7041,C1
24066at7041,C1
24175at7041,C1
24536at7041,C1
24723at7041,C1
24866at7041,C1
24883at7041,C1
24972at7041,C1
24993at7041,C1
25347at7041,C1
25928at7041,C1
26082at7041,C1
26559at7041,C1
26638at7041,C1
26887at7041,C1
27037at7041,C1
27069at7041,C1
27075at7041,C1
27107at7041,C1
27300at7041,C1
27302at7041,C1
27305at7041,C1
27850at7041,C1
